scenario,timing_preset,trial,seed,total_users,cw_min,lower_cw_min,higher_cw_min,class_name,class_users,successful_packets,collision_attempts,average_delay_slots,throughput_bits_per_slot,jain_fairness_index,per_station_throughput_variance,zero_success_station_fraction,max_station_throughput_share
sweep-cw,baseline,0,7,20,0,,,standard,20,9984,54,2.003104967948718,5990.4,0.05,1704532.3776000005,0.95,1.0
sweep-cw,baseline,1,8,20,0,,,standard,20,9987,45,2.0025032542304997,5992.2,0.049999999999999996,1705556.8898999994,0.95,1.0
sweep-cw,baseline,2,9,20,0,,,standard,20,9977,60,2.0045103738598775,5986.2,0.05,1702143.045899999,0.95,1.0
sweep-cw,baseline,3,10,20,0,,,standard,20,9991,32,2.0018016214593133,5994.6,0.05,1706923.3851,0.95,1.0
sweep-cw,baseline,4,11,20,0,,,standard,20,9991,30,2.0018016214593133,5994.6,0.05,1706923.3850999996,0.95,1.0
sweep-cw,baseline,5,12,20,0,,,standard,20,9984,49,2.003104967948718,5990.4,0.05,1704532.3776000005,0.95,1.0
sweep-cw,baseline,6,13,20,0,,,standard,20,9991,39,2.0018016214593133,5994.6,0.05,1706923.3850999996,0.95,1.0
sweep-cw,baseline,7,14,20,0,,,standard,20,9984,44,2.003104967948718,5990.4,0.05,1704532.3776000005,0.95,1.0
sweep-cw,baseline,8,15,20,0,,,standard,20,9977,67,2.004610604390097,5986.2,0.05,1702143.045899999,0.95,1.0
sweep-cw,baseline,9,16,20,0,,,standard,20,9991,31,2.0018016214593133,5994.6,0.05,1706923.3851,0.95,1.0
sweep-cw,baseline,0,7,20,2,,,standard,20,3603,2945,82.15348320843741,2161.8,0.6258543685295015,6984.5499,0.1,0.1373855120732723
sweep-cw,baseline,1,8,20,2,,,standard,20,3708,2834,79.86218985976268,2224.8,0.6695552746248831,6107.0904,0.0,0.12135922330097086
sweep-cw,baseline,2,9,20,2,,,standard,20,3675,2858,83.94585034013605,2205.0,0.727567918460138,4551.3675,0.05,0.10938775510204081
sweep-cw,baseline,3,10,20,2,,,standard,20,3842,2593,85.40317542946381,2305.2,0.688386612967312,6013.6884,0.0,0.1392503904216554
sweep-cw,baseline,4,11,20,2,,,standard,20,3667,2925,99.20289064630488,2200.2,0.7687916715739688,3639.6458999999986,0.0,0.12789746386692122
sweep-cw,baseline,5,12,20,2,,,standard,20,3716,2856,86.54790096878364,2229.6,0.832566967569536,2499.2855999999997,0.0,0.08638320775026911
sweep-cw,baseline,6,13,20,2,,,standard,20,3652,2849,88.43346111719606,2191.2,0.7302288401185271,4434.4583999999995,0.0,0.11418400876232197
sweep-cw,baseline,7,14,20,2,,,standard,20,3548,2986,96.30073280721533,2128.8,0.748233123554152,3812.1623999999997,0.0,0.1124577226606539
sweep-cw,baseline,8,15,20,2,,,standard,20,3809,2673,89.49488054607508,2285.4,0.6901169754205112,5863.2651000000005,0.0,0.10737726437385141
sweep-cw,baseline,9,16,20,2,,,standard,20,3621,2855,87.41286937310136,2172.6,0.7448382522862135,4042.529100000001,0.0,0.1369787351560343
sweep-cw,baseline,0,7,20,4,,,standard,20,3069,3108,109.82404692082112,1841.4,0.7289554907165907,3151.9250999999995,0.0,0.1371782339524275
sweep-cw,baseline,1,8,20,4,,,standard,20,3060,3107,110.1578431372549,1836.0,0.7971273585387527,2144.772,0.0,0.11307189542483662
sweep-cw,baseline,2,9,20,4,,,standard,20,3079,3067,115.41961675868788,1847.4,0.8768858578926045,1197.9171,0.0,0.09808379343942837
sweep-cw,baseline,3,10,20,4,,,standard,20,3082,3049,113.06943543153797,1849.2,0.8140079594963784,1953.3203999999998,0.0,0.09020116807268008
sweep-cw,baseline,4,11,20,4,,,standard,20,3037,3106,115.16957523872243,1822.2,0.9217893571218694,704.3138999999999,0.0,0.07540335857754364
sweep-cw,baseline,5,12,20,4,,,standard,20,3086,3062,111.16202203499675,1851.6,0.7720754288679187,2530.2636000000007,0.0,0.09721322099805571
sweep-cw,baseline,6,13,20,4,,,standard,20,3080,3093,113.66006493506494,1848.0,0.8003293647579707,2130.048,0.0,0.09772727272727272
sweep-cw,baseline,7,14,20,4,,,standard,20,2989,3173,115.02074272331883,1793.4,0.796868316038653,2049.6771,0.0,0.10940113750418198
sweep-cw,baseline,8,15,20,4,,,standard,20,3086,3064,117.00097213220998,1851.6,0.7945883797846032,2215.7316,0.0,0.11957226182760856
sweep-cw,baseline,9,16,20,4,,,standard,20,2974,3220,120.56254203093476,1784.4,0.8256268272738476,1681.2036,0.0,0.09347679892400808
sweep-cw,baseline,0,7,20,8,,,standard,20,2885,2891,126.99930675909879,1731.0,0.9058346012280626,778.7115,0.0,0.08630849220103985
sweep-cw,baseline,1,8,20,8,,,standard,20,2887,2996,128.3200554208521,1732.2,0.9263304073743943,596.5658999999998,0.0,0.08382403879459648
sweep-cw,baseline,2,9,20,8,,,standard,20,2843,2918,129.62891311994372,1705.8,0.8717397587970481,1070.2898999999998,0.0,0.09391487864931411
sweep-cw,baseline,3,10,20,8,,,standard,20,2935,2833,116.47802385008518,1761.0,0.8567668290509372,1296.1035000000002,0.0,0.09028960817717206
sweep-cw,baseline,4,11,20,8,,,standard,20,2914,2968,123.6372683596431,1748.4,0.9035437779584329,815.8356,0.0,0.08098833218943036
